1-199 equipable items, 200- potions, 300- scrolls, 400-books, 500- artifacts, 600 quest items 700- message scrolls ;;;;;;;;;;;;;;;;
Item #;Pic File;Name;Value;Equip Stat;Skill Group;Mod1;Mod2;material;ID/Rep/St;Not identified name;Sprite Index;VarA;VarB;Equip X;Equip Y;Notes
135;item135;Alvarian Boots;650;Boots;Misc;2;8;3;15;Boots;31;0;0;0;0;Made by the Alvarian Elves, these boots are internally reinforced by bands of siertal-alloy. Their soles are softer than most boots making them quieter stepping.
136;item136;Dragonning Boots;850;Boots;Misc;2;10;3;21;Boots;31;0;0;0;0;Dragon hunters require unusually hardy protective gear, their boots not excepting. These boots are constructed with erudine-alloy shells lined with wyvern leather.
137;item137;Bronze Ring;100;Ring;Misc;0;0;7;2;Ring;32;0;0;0;0;A simple bauble of very little value.
138;item138;Gold Ring;300;Ring;Misc;0;0;7;6;Ring;32;0;0;0;0;A ring of soft gold rendered with half-hearted craftsmanship as a means of conveniently carrying a small amount of wealth.
139;item139;Pearl Ring;500;Ring;Misc;0;0;7;9;Ring;32;0;0;0;0;A silver ring set with a good quality pearl.
140;item143;Gemstone Ring;700;Ring;Misc;0;0;7;12;Ring;32;0;0;0;0;This gold ring is decorated with a variety of tiny gems giving it a multicolored sparkle.
141;item143;Amethyst Ring;900;Ring;Misc;0;0;7;15;Ring;32;0;0;0;0;A ring set with three amethysts. The largest is an excellent stone - richly and evenly purple with a perfect cut.
142;item142;Necromatic Ring;1100;Ring;Misc;0;0;7;18;Ring;32;0;0;0;0;Though made of semi-precious silver, this ring is highly valuable because it is well suited to holding enchantments of medium power.
143;item141;Ruby Ring;1300;Ring;Misc;0;0;7;21;Ring;32;0;0;0;0;This simply elegant ring is set with a single, oval ruby of high quality - pigeon blood red, perfectly cut and clear of imperfections.
144;item144;Vampire's Ring;1500;Ring;Misc;0;0;7;24;Ring;32;0;0;0;0;Worn only by elder Vampires of great power, it is said that a part of their life force is invested in the ring's creation. This would certainly explain their ability to hold powerful enchantments.
145;item145;Sun Opal Ring;1700;Ring;Misc;0;0;7;27;Ring;32;0;0;0;0;Sun opals shine with a mild inner light. They are extremely rare and coveted by elemental magicians.
146;item146;Focal Ring;2000;Ring;Misc;0;0;7;30;Ring;32;0;0;0;0;"The ""stone"" of this platinum ring is actually a tiny interplanar portal which draws power from realms beyond. The strength limit of the enchantments such rings can hold is the skill and knowledge of the enchanter."
147;item147;Brass Charm;500;Amulet;Misc;0;0;4;2;Amulet;33;0;0;0;0;These stamp formed and lacquered baubles are cheap trinkets sold to pilgrims as keepsake mementos.
148;item148;Jade Amulet;750;Amulet;Misc;0;0;4;5;Amulet;33;0;0;0;0;A large polished jade stone decorates and adds value to this simple amulet.
149;item149;Blood Talisman;1000;Amulet;Misc;0;0;4;9;Amulet;33;0;0;0;0;Made by necromancers to hold dark magics, other sorcerers have recognized their worth for other uses.
150;item150;Shadow Sect Medallion;1250;Amulet;Misc;0;0;4;14;Amulet;33;0;0;0;0;Formed in white and yellow gold, inlaid with jade, and studded with peridots, these amulets are worn by members of the secret Shadow Sect hidden beneath their clothing.
151;item151;Locus Amulet;1500;Amulet;Misc;0;0;4;20;Amulet;33;0;0;0;0;The pinnacle of artificer tradecraft, these amulets wrought in platinum and set with a perfect sapphire can contain enchantments of nearly unimaginable potency.
152;item152;Witch's Wand of Fire;1000;WeaponW;Misc;S2;35;3;10;Wand;34;0;0;15;84;The primitive materials of this wand is infused with dark spiritual energy. To use this wand, you must equip it as though you were equipping a weapon.
153;item152;Witch's Wand of Sparks;1000;WeaponW;Misc;S15;35;3;10;Wand;34;0;0;15;84;The primitive materials of this wand is infused with dark spiritual energy. To use this wand, you must equip it as though you were equipping a weapon.
154;item152;Witch's Wand of Poison;1000;WeaponW;Misc;S24;35;3;10;Wand;34;0;0;15;84;The primitive materials of this wand is infused with dark spiritual energy. To use this wand, you must equip it as though you were equipping a weapon.
155;item152;Witch's Wand of Stunning;1000;WeaponW;Misc;S34;35;3;10;Wand;34;0;0;15;84;The primitive materials of this wand is infused with dark spiritual energy. To use this wand, you must equip it as though you were equipping a weapon.
156;item152;Witch's Wand of Harming;1000;WeaponW;Misc;S70;35;3;10;Wand;34;0;0;15;84;The primitive materials of this wand is infused with dark spiritual energy. To use this wand, you must equip it as though you were equipping a weapon.
157;item153;Shaman's Wand of Light;1500;WeaponW;Misc;S78;30;3;14;Wand;34;0;0;10;91;Something rattles ominously within the gog skull topping this wand - product of Ogre mage magic. To use it, you must equip it like a weapon.
158;item153;Shaman's Wand of Ice;1500;WeaponW;Misc;S26;30;3;14;Wand;34;0;0;10;91;Something rattles ominously within the gog skull topping this wand - product of Ogre mage magic. To use it, you must equip it like a weapon.
159;item153;Shaman's Wand of Lashing;1500;WeaponW;Misc;S52;30;3;14;Wand;34;0;0;10;91;Something rattles ominously within the gog skull topping this wand - product of Ogre mage magic. To use it, you must equip it like a weapon.
160;item153;Shaman's Wand of Mind;1500;WeaponW;Misc;S59;30;3;14;Wand;34;0;0;10;91;Something rattles ominously within the gog skull topping this wand - product of Ogre mage magic. To use it, you must equip it like a weapon.
161;item153;Shaman's Wand of Swarms;1500;WeaponW;Misc;S37;30;3;14;Wand;34;0;0;10;91;Something rattles ominously within the gog skull topping this wand - product of Ogre mage magic. To use it, you must equip it like a weapon.
162;item155;Wizard Wand of Fireballs;2000;WeaponW;Misc;S6;25;3;18;Wand;34;0;0;8;88;A wand of highly polished thornbark wrapped with platinum wire. To use it, you must equip it like a weapon.
163;item155;Wizard Wand of Acid;2000;WeaponW;Misc;S29;25;3;18;Wand;34;0;0;8;88;A wand of highly polished thornbark wrapped with platinum wire. To use it, you must equip it like a weapon.
164;item155;Wizard Wand of Lightning;2000;WeaponW;Misc;S18;25;3;18;Wand;34;0;0;8;88;A wand of highly polished thornbark wrapped with platinum wire. To use it, you must equip it like a weapon.
165;item155;Wizard Wand of Blades;2000;WeaponW;Misc;S39;25;3;18;Wand;34;0;0;8;88;A wand of highly polished thornbark wrapped with platinum wire. To use it, you must equip it like a weapon.
166;item155;Wizard Wand of Berzerking;2000;WeaponW;Misc;S62;25;3;18;Wand;34;0;0;8;88;A wand of highly polished thornbark wrapped with platinum wire. To use it, you must equip it like a weapon.
167;item154;Serpent Wand of Blasting;2500;WeaponW;Misc;S32;20;3;22;Wand;34;0;0;8;97;Made from the braided bodies of three snakes, this wand pulses like a slow heartbeat. To use it you must equip it like a weapon.
168;item154;Serpent Wand of the Fist;2500;WeaponW;Misc;S76;20;3;22;Wand;34;0;0;8;97;Made from the braided bodies of three snakes, this wand pulses like a slow heartbeat. To use it you must equip it like a weapon.
169;item154;Serpent Wand of Rocks;2500;WeaponW;Misc;S41;20;3;22;Wand;34;0;0;8;97;Made from the braided bodies of three snakes, this wand pulses like a slow heartbeat. To use it you must equip it like a weapon.
170;item154;Serpent Wand of Paralysis;2500;WeaponW;Misc;S81;20;3;22;Wand;34;0;0;8;97;Made from the braided bodies of three snakes, this wand pulses like a slow heartbeat. To use it you must equip it like a weapon.
171;item154;Arcane Wand of Clouds;2500;WeaponW;Misc;S90;20;3;22;Wand;34;0;0;8;97;Made from the braided bodies of three snakes, this wand pulses like a slow heartbeat. To use it you must equip it like a weapon.
172;item156;Necrotic Wand of Implosion;3000;WeaponW;Misc;S20;15;3;26;Wand;34;0;0;8;92;A unicorn horn capped with a gold set ruby and crowned with a sculpted skull, this wand could only be the creation of the Necromancers' Guild. To use it you must equip it like a weapon.
173;item156;Necrotic Wand of Distortion;3000;WeaponW;Misc;S44;15;3;26;Wand;34;0;0;8;92;A unicorn horn capped with a gold set ruby and crowned with a sculpted skull, this wand could only be the creation of the Necromancers' Guild. To use it you must equip it like a weapon.
174;item156;Necrotic Wand of Shrapnel;3000;WeaponW;Misc;S93;15;3;26;Wand;34;0;0;8;92;A unicorn horn capped with a gold set ruby and crowned with a sculpted skull, this wand could only be the creation of the Necromancers' Guild. To use it you must equip it like a weapon.
175;item156;Necrotic Wand of Shrinking;3000;WeaponW;Misc;S92;15;3;26;Wand;34;0;0;8;92;A unicorn horn capped with a gold set ruby and crowned with a sculpted skull, this wand could only be the creation of the Necromancers' Guild. To use it you must equip it like a weapon.
176;item156;Necrotic Wand of Incineration;3000;WeaponW;Misc;S11;15;3;26;Wand;34;0;0;8;92;A unicorn horn capped with a gold set ruby and crowned with a sculpted skull, this wand could only be the creation of the Necromancers' Guild. To use it you must equip it like a weapon.
177;item213;Zircon;250;Gem;Misc;0;0;0;0;Gemstone;144;0;0;0;0;A gem quality stone. It has no magical properties, so you might as well sell it.
178;item218;Iolite;500;Gem;Misc;0;0;0;0;Gemstone;146;0;0;0;0;A gem quality stone. It has no magical properties, so you might as well sell it.
179;item215;Citrine;750;Gem;Misc;0;0;0;0;Gemstone;147;0;0;0;0;A gem quality stone. It has no magical properties, so you might as well sell it.
180;item214;Amber;1000;Gem;Misc;0;0;0;0;Gemstone;148;0;0;0;0;A gem quality stone. It has no magical properties, so you might as well sell it.
181;item220;Amethyst;1250;Gem;Misc;0;0;0;0;Gemstone;149;0;0;0;0;A gem quality stone. It has no magical properties, so you might as well sell it.
182;item221;Topaz;1500;Gem;Misc;0;0;0;0;Gemstone;150;0;0;0;0;A gem quality stone. It has no magical properties, so you might as well sell it.
183;item219;Emerald;1750;Gem;Misc;0;0;0;0;Gemstone;151;0;0;0;0;A gem quality stone. It has no magical properties, so you might as well sell it.
184;item217;Sapphire;2000;Gem;Misc;0;0;0;0;Gemstone;152;0;0;0;0;A gem quality stone. It has no magical properties, so you might as well sell it.
185;item212;Ruby;2250;Gem;Misc;0;0;0;0;Gemstone;153;0;0;0;0;A gem quality stone. It has no magical properties, so you might as well sell it.
186;item216;Diamond;3000;Gem;Misc;0;0;0;0;Gemstone;154;0;0;0;0;A gem quality stone. It has no magical properties, so you might as well sell it.
187;item204;Gold;0;Gold;Misc;0;0;0;0;Gold;83;0;0;0;0;Gold
188;item205;Gold;0;Gold;Misc;0;0;0;0;Gold;84;0;0;0;0;Gold
189;item206;Gold;0;Gold;Misc;0;0;0;0;Gold;85;0;0;0;0;Gold
190;null;_misc190;0;0;0;0;0;0;0;0;1;0;0;0;0;
191;null;_misc191;0;0;0;0;0;0;0;0;1;0;0;0;0;
192;null;_misc192;0;0;0;0;0;0;0;0;1;0;0;0;0;
193;null;_misc193;0;0;0;0;0;0;0;0;1;0;0;0;0;
194;null;_misc194;0;0;0;0;0;0;0;0;1;0;0;0;0;
195;null;_misc195;0;0;0;0;0;0;0;0;1;0;0;0;0;
196;null;_misc196;0;0;0;0;0;0;0;0;1;0;0;0;0;
197;null;_misc197;0;0;0;0;0;0;0;0;1;0;0;0;0;
198;null;_misc198;0;0;0;0;0;0;0;0;1;0;0;0;0;
199;null;_misc199;0;0;0;0;0;0;0;0;1;0;0;0;0;
200;item158;Widowsweep Berries;1;Reagent;Misc;1;0;1;0;Reagent;36;0;0;0;0;An ingredient with alchemical properties, widowsweep berries can be used to mix red potions. (To use, pick it up and right-click over an empty potion bottle.)
201;item161;Wolf's Eye;10;Reagent;Misc;5;0;1;0;Reagent;42;0;0;0;0;An ingredient with alchemical properties, wolf eyes can be used to mix red potions. (To use, pick it up and right-click over an empty potion bottle.)
202;item162;Phial of Gog Blood;50;Reagent;Misc;10;0;1;0;Reagent;40;0;0;0;0;An ingredient with alchemical properties, gog blood can be used to mix red potions. (To use, pick it up and right-click over an empty potion bottle.)
203;item163;Ruby;100;Reagent;Misc;20;0;1;0;Reagent;41;0;0;0;0;An ingredient with alchemical properties, rubies can be used to mix red potions. (To use, pick it up and right-click over an empty potion bottle.)
204;item164;Phoenix Feather;500;Reagent;Misc;50;1;1;0;Reagent;44;0;0;0;0;An ingredient with alchemical properties, phoenix feathers can be used to mix red potions. (To use, pick it up and right-click over an empty potion bottle.)
205;item157;Phima Root;1;Reagent;Misc;1;1;1;0;Reagent;35;0;0;0;0;An ingredient with alchemical properties, phima roots can be used to mix blue potions. (To use, pick it up and right-click over an empty potion bottle.)
206;item165;Meteor Fragment;10;Reagent;Misc;5;1;1;0;Reagent;43;0;0;0;0;An ingredient with alchemical properties, meteor fragments can be used to mix blue potions. (To use, pick it up and right-click over an empty potion bottle.)
207;item166;Will O' Wisp Heart;50;Reagent;Misc;10;1;1;0;Reagent;81;0;0;0;0;An ingredient with alchemical properties, will o' wisp hearts can be used to mix blue potions. (To use, pick it up and right-click over an empty potion bottle.)
208;item167;Datura;100;Reagent;Misc;20;1;1;0;Reagent;39;0;0;0;0;An ingredient with alchemical properties, datura can be used to mix blue potions. (To use, pick it up and right-click over an empty potion bottle.)
209;item168;Dragon Turtle Fang;500;Reagent;Misc;50;1;1;0;Reagent;82;0;0;0;0;An ingredient with alchemical properties, dragon turtle fangs can be used to mix blue potions. (To use, pick it up and right-click over an empty potion bottle.)
210;item160;Poppy Pod;1;Reagent;Misc;1;1;1;0;Reagent;38;0;0;0;0;An ingredient with alchemical properties, poppy pods can be used to mix yellow potions. (To use, pick it up and right-click over an empty potion bottle.)
211;item169;Thornbark;10;Reagent;Misc;5;1;1;0;Reagent;48;0;0;0;0;An ingredient with alchemical properties, thornbark can be used to mix yellow potions. (To use, pick it up and right-click over an empty potion bottle.)
212;item170;Sulfur;50;Reagent;Misc;10;1;1;0;Reagent;47;0;0;0;0;An ingredient with alchemical properties, sulfur can be used to mix yellow potions. (To use, pick it up and right-click over an empty potion bottle.)
213;item171;Garnet;100;Reagent;Misc;20;1;1;0;Reagent;49;0;0;0;0;An ingredient with alchemical properties, garnets can be used to mix yellow potions. (To use, pick it up and right-click over an empty potion bottle.)
214;item172;Unicorn Horn;500;Reagent;Misc;50;1;1;0;Reagent;50;0;0;0;0;An ingredient with alchemical properties, unicorn horns can be used to mix yellow potions. (To use, pick it up and right-click over an empty potion bottle.)
215;item159;Mushroom;1;Reagent;Misc;1;1;1;0;Reagent;37;0;0;0;0;An ingredient with alchemical properties, mushrooms can be used to mix gray catalyst potions. (To use, pick it up and right-click over an empty potion bottle.)
216;item173;Obsidian;10;Reagent;Misc;5;1;1;0;Reagent;51;0;0;0;0;An ingredient with alchemical properties, obsidian can be used to mix gray catalyst potions. (To use, pick it up and right-click over an empty potion bottle.)
217;item174;Wasp Wing;50;Reagent;Misc;10;1;1;0;Reagent;53;0;0;0;0;An ingredient with alchemical properties, wasp wings can be used to mix gray catalyst potions. (To use, pick it up and right-click over an empty potion bottle.)
218;item175;Mercury;100;Reagent;Misc;20;1;1;0;Reagent;52;0;0;0;0;An ingredient with alchemical properties, mercury can be used to mix gray catalyst potions. (To use, pick it up and right-click over an empty potion bottle.)
219;item176;Philosopher's Stone;500;Reagent;Misc;75;1;1;0;Reagent;54;0;0;0;0;An ingredient with alchemical properties, philosopher's stones can be used to mix gray catalyst potions. (To use, pick it up and right-click over an empty potion bottle.)
220;item198;Potion Bottle;1;Bottle;Misc;0;1;1;0;Potion Bottle;76;0;0;0;0;An empty bottle suitable for storing magic potions.
221;item181;Catalyst;1;Bottle;Misc;0;1;1;0;Gray Potion;59;0;0;0;0;You can mix catalysts with other potions to affect their strength. Mix a potion with a catalyst and the potion will take on the strength of the catalyst. (To mix two potions, pick up one and right-click it over the other.) 
222;item178;Cure Wounds;5;Bottle;Misc;0;1;1;0;Red Potion;56;0;0;0;0;Heals 10 plus the potion strength hit points.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
223;item177;Magic Potion;5;Bottle;Misc;0;1;1;0;Blue Potion;55;0;0;0;0;Restores 10 plus the potion strength spell points.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
224;item179;Cure Weakness;5;Bottle;Misc;0;1;1;0;Yellow Potion;57;0;0;0;0;Cures Weakness.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
225;item185;Cure Disease;50;Bottle;Misc;0;1;1;0;Orange Potion;63;0;0;0;0;Cures Disease. (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
226;item183;Cure Poison;50;Bottle;Misc;0;1;1;0;Purple Potion;61;0;0;0;0;Cures Poison.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
227;item184;Awaken;50;Bottle;Misc;0;1;1;0;Green Potion;62;0;0;0;0;Removes Sleep condition.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
228;item186;Haste;150;Bottle;Misc;0;1;1;0;Layered Potion;64;0;0;0;0;Grants Haste (as the spell) for 30 minutes per point of potion strength.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
229;item187;Heroism;150;Bottle;Misc;0;0;1;0;Layered Potion;65;0;0;0;0;Grants Heroism (as the spell) for 30 minutes per point of potion strength.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
230;item188;Bless;150;Bottle;Misc;0;0;1;0;Layered Potion;66;0;0;0;0;Grants Bless (as the spell) for 30 minutes per point of potion strength.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
231;item189;Preservation;150;Bottle;Misc;0;0;1;0;Layered Potion;67;0;0;0;0;Grants Preservation (as the spell) for 30 minutes per point of potion strength.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
232;item190;Shield;150;Bottle;Misc;0;0;1;0;Layered Potion;68;0;0;0;0;Grants Shield (as the spell) for 30 minutes per point of potion strength.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
233;item191;Recharge Item;150;Bottle;Misc;0;0;1;0;Layered Potion;69;0;0;0;0;Grants Recharge Item (as the spell).  The item permanently loses 70%-point of potion strength of its charges.   (To use, pick the potion up and right-click over an item with charges.  To mix, pick the potion up and right-click over another potion.)
234;item192;Stoneskin;150;Bottle;Misc;0;0;1;0;Layered Potion;70;0;0;0;0;Grants Stone Skin (as the spell) for 30 minutes per point of potion strength.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
235;item193;Water Breathing;150;Bottle;Misc;0;0;1;0;Layered Potion;71;0;0;0;0;Prevents drowning damage.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
236;item194;Harden Item;150;Bottle;Misc;0;0;1;0;Layered Potion;72;0;0;0;0;Increases an item's toughness, making it more resistant to breaking.  (To use, pick the potion up and right-click over an item.  To mix, pick the potion up and right-click over another potion.)
237;item195;Remove Fear;150;Bottle;Misc;0;0;1;0;Layered Potion;73;0;0;0;0;Cures Fear.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
238;item196;Remove Curse;150;Bottle;Misc;0;0;1;0;Layered Potion;74;0;0;0;0;Cures Curse.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
239;item197;Cure Insanity;150;Bottle;Misc;0;0;1;0;Layered Potion;75;0;0;0;0;Cures Insanity. (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
240;item180;Might Boost;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Might by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
241;item180;Intellect Boost;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Intellect by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
242;item180;Personality Boost;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Personality by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
243;item180;Endurance Boost;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Endurance by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
244;item180;Speed Boost;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Speed by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
245;item180;Accuracy Boost;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Accuracy by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix two potions, pick up one and right-click it over the other.)
246;item180;Flaming Potion;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;"Adds the ""of Flame"" property to a non-magic weapon for 30 minutes per point of strength of the potion.  (To use, pick the potion up and right-click over a non-magic weapon.  To mix, pick the potion up and right-click over another potion.)"
247;item180;Freezing Potion;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;"Adds the ""of Frost"" property to a non-magic weapon for 30 minutes per point of strength of the potion.  (To use, pick the potion up and right-click over a non-magic weapon.  To mix, pick the potion up and right-click over another potion.)"
248;item180;Noxious Potion;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;"Adds the ""of Poison"" property to a non-magic weapon for 30 minutes per point of strength of the potion.  (To use, pick the potion up and right-click over a non-magic weapon.  To mix, pick the potion up and right-click over another potion.)"
249;item180;Shocking Potion;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;"Adds the ""of Sparks"" property to a non-magic weapon for 30 minutes per point of strength of the potion.  (To use, pick the potion up and right-click over a non-magic weapon.  To mix, pick the potion up and right-click over another potion.)"
250;item180;Swift Potion;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;"Adds the ""of Swiftness"" property to a non-magic weapon for 30 minutes per point of strength of the potion.  (To use, pick the potion up and right-click over a non-magic weapon.  To mix, pick the potion up and right-click over another potion.)"
251;item180;Cure Paralysis;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Cures Paralysis.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
252;item180;Divine Restoration;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Removes all adverse conditions (except Death, Stoned, or Eradicated).  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
253;item180;Divine Cure;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Heals five times the potion's strength of hit points.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
254;item180;Divine Power;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Restores five times the potion's strength of spell points.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
255;item180;Luck Boost;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Luck by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
256;item180;Fire Resistance;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Fire Resistance by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
257;item180;Air Resistance;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Air Resistance by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
258;item180;Water Resistance;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Water Resistance by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
259;item180;Earth Resistance;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Earth Resistance by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
260;item180;Mind Resistance;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Mind Resistance by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
261;item180;Body Resistance;750;Bottle;Misc;0;0;1;0;White Potion;58;0;0;0;0;Increases temporary Body Resistance by three times the strength of the potion for 30 minutes per point of strength of the potion.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
262;item182;Stone to Flesh;2000;Bottle;Misc;0;0;1;0;Black Potion;60;0;0;0;0;Cures Stoned.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
263;item182;Slaying Potion;2000;Bottle;Misc;0;0;1;0;Black Potion;60;0;0;0;0;"Adds ""of Dragon Slaying"" to a non-magic weapon.  (To use, pick the potion up and right-click over a non-magic weapon.  To mix, pick the potion up and right-click over another potion.)"
264;item182;Pure Luck;2000;Bottle;Misc;0;0;1;0;Black Potion;60;0;0;0;0;Adds 50 to permanent Luck.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
265;item182;Pure Speed;2000;Bottle;Misc;0;0;1;0;Black Potion;60;0;0;0;0;Adds 50 to permanent Speed.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
266;item182;Pure Intellect;2000;Bottle;Misc;0;0;1;0;Black Potion;60;0;0;0;0;Adds 50 to permanent Intellect.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
267;item182;Pure Endurance;2000;Bottle;Misc;0;0;1;0;Black Potion;60;0;0;0;0;Adds 50 to permanent Endurance.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
268;item182;Pure Personality;2000;Bottle;Misc;0;0;1;0;Black Potion;60;0;0;0;0;Adds 50 to permanent Personality.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
269;item182;Pure Accuracy;2000;Bottle;Misc;0;0;1;0;Black Potion;60;0;0;0;0;Adds 50 to permanent Accuracy.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
270;item182;Pure Might;2000;Bottle;Misc;0;0;1;0;Black Potion;60;0;0;0;0;Adds 50 to permanent Might.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
271;item182;Rejuvenation;2000;Bottle;Misc;0;0;1;0;Black Potion;60;0;0;0;0;Removes all unnatural aging.  (To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion.)
272;null;_potion/reagent272;0;0;0;0;0;0;0;0;1;0;0;0;0;_potion/reagent272
273;null;_potion/reagent273;0;0;0;0;0;0;0;0;1;0;0;0;0;_potion/reagent273
274;null;_potion/reagent274;0;0;0;0;0;0;0;0;1;0;0;0;0;_potion/reagent274
275;null;_potion/reagent275;0;0;0;0;0;0;0;0;1;0;0;0;0;_potion/reagent275
276;null;_potion/reagent276;0;0;0;0;0;0;0;0;1;0;0;0;0;_potion/reagent276
277;null;_potion/reagent277;0;0;0;0;0;0;0;0;1;0;0;0;0;_potion/reagent277
278;null;_potion/reagent278;0;0;0;0;0;0;0;0;1;0;0;0;0;_potion/reagent278
279;null;_potion/reagent279;0;0;0;0;0;0;0;0;1;0;0;0;0;_potion/reagent279
