										
#	Lvl	Fire Spells	Res	Short Name	Spell Description	Normal	Expert	Master	Grand Master	Stats
100	1	Glamour	none	Glamour	This ability grants a more appealing manner and appearance to whomever the Dark Elf deals with.  The net effect is a bonus to Merchant skill for the duration of the ability's effect.	Duration 5 minutes per point of skill	Duration 5 minutes per point of skill.	Duration 1 hour per point of skill	Larger bonus to Merchant skill	P
101	2	Travelers' Boon	none	Travel Boon	"This ability simultaneously casts Torchlight, Wizard Eye, and Feather Fall at Expert level of mastery."	n/a	Duration 30 minutes per point of skill	Duration 1 hour per point of skill	Duration 2 hours per point of skill	P
102	3	Blind	Mind	Blind	"This ability strikes its target blind. Affected creatures cannot perform missile attacks or cast spells, and wander aimlessly until the effect wears off."	n/a	n/a	Duration 5 minutes per point of skill	Duration 10 minutes per point of skill	P
103	4	Darkfire Bolt	DarkFire	Darkfire	"This frightening ability grants the Dark Elf the power to wield Darkfire, a dangerous combination of the powers of Dark and Fire. Any target stricken by the Darkfire bolt resists with either its Fire or Dark resistance--whichever is lower. Damage is 1-17 per point of skill."	n/a	n/a	n/a	n/a	P
104	5	Unused!!!	0	0						
105	6	Unused!!!	0	0						
106	7	Unused!!!	0	0						
107	8	Unused!!!	0	0						
108	9	Unused!!!	0	0						
109	10	Unused!!!	0	0						
110	11	Unused!!!	0	0						
	Lvl	Vampire Abilities	Res		Spell Description					
111	1	Lifedrain	Dark	Lifedrain	Lifedrain allows the vampire to damage his or her target and simultaneously heal based on the damage done in the Lifedrain.  This ability does 3 points of damage plus 1-3 points of damage per skill.	Vampire heals 1/3 the damage done by Lifedrain	Faster recovery rate	Damage 5 points plus 1-5 per point of skill	Damage 7 points plus 1-7 per point of skill	P
112	2	Levitate	none	Levitate	"This ability allows the vampire to levitate the party slightly off the ground, avoiding damage from drowning or lava, and also avoiding setting off ground traps."	n/a	Duration 10 minutes per point of skill	Duration 1 hour per point of skill	Duration 3 hours per point of skill	P
113	3	Charm	Mind	Charm	A vampire using this ability can charm a small group of targets in close proximity.	n/a	n/a	Duration 10 minutes per point of skill	Duration permanent	P
114	4	Mistform	none	Mistform	"Mistform allows the vampire to render himself immune to physical damage.  However, a vampire in Mistform cannot perform any physical attacks.  Vampires in Mistform are able to use spells and abilities and are affected by spells and abilities."	n/a	n/a	n/a	n/a	P
115	5	Unused!!!	0	0						
116	6	Unused!!!	0	0						
117	7	Unused!!!	0	0						
118	8	Unused!!!	0	0						
119	9	Unused!!!	0	0						
120	10	Unused!!!	0	0						
121	11	Unused!!!	0	0						
	Lvl	Dragon Abilities	Res		Spell Description					
122	1	Fear	Mind	Fear	"This ability allows the Dragon to strike fear in its opponents' thoughts. If the target doesn't resist the effects, it will flee in panic for the duration of the effect."	Duration 3 minutes plus 1 per point of skill	Duration 5 minutes plus 1 per point of skill	Affects target and all creatures within immediate vicinity	Affects all creatures within view	P
123	2	Flame Blast	Fire	Flame Blast	"This ability is an upgraded version of the normal Dragon breath weapon attack.  It acts much like a fireball, striking its target and exploding out to hit everything near it, except the explosion does much more damage than most fireballs."	n/a	Damage 10 points plus 1-10 points per point of skill	Damage 11 points plus 1-11 points per point of skill	Damage 12 points plus 1-12 points per point of skill	P
124	3	Flight	none	Flight	"Allows the Dragon to carry the party in flight.  This ability is expensive and only works outdoors, but it is very useful.  Flight will drain one spell point every five minutes it is in use (i.e. when you aren't touching the ground)."	n/a	n/a	Duration 1 hour per point of skill	No spell point drain	
125	4	Wing Buffet	none	Buffet	This ability allows a Dragon to push back opponents with wing generated wind--great for pushing them back before hitting them with a Flame Blast.	n/a	n/a	n/a	n/a	
126	5	Unused!!!	0	0	0					
127	6	Unused!!!	0	0	0					
128	7	Unused!!!	0	0	0					
129	8	Unused!!!	0	0						
130	9	Unused!!!	0	0						
131	10	Unused!!!	0	0						
132	11	Unused!!!	0	0
