Random Item Generation By Treasure Level 1 - 6								
								
Item #	Pic File	1	2	3	4	5	6	
565	null	0	0	0	0	0	0	artifact 565
566	null	0	0	0	0	0	0	artifact 566
567	null	0	0	0	0	0	0	artifact 567
568	null	0	0	0	0	0	0	artifact 568
569	null	0	0	0	0	0	0	artifact 569
570	null	0	0	0	0	0	0	artifact 570
571	null	0	0	0	0	0	0	artifact 571
572	null	0	0	0	0	0	0	artifact 572
573	null	0	0	0	0	0	0	artifact 573
574	null	0	0	0	0	0	0	artifact 574
575	null	0	0	0	0	0	0	artifact 575
576	null	0	0	0	0	0	0	artifact 576
577	null	0	0	0	0	0	0	artifact 577
578	null	0	0	0	0	0	0	artifact 578
579	null	0	0	0	0	0	0	artifact 579
580	null	0	0	0	0	0	0	artifact 580
581	null	0	0	0	0	0	0	artifact 581
582	null	0	0	0	0	0	0	artifact 582
583	null	0	0	0	0	0	0	artifact 583
584	null	0	0	0	0	0	0	artifact 584
585	null	0	0	0	0	0	0	artifact 585
586	null	0	0	0	0	0	0	artifact 586
587	null	0	0	0	0	0	0	artifact 587
588	null	0	0	0	0	0	0	artifact 588
589	null	0	0	0	0	0	0	artifact 589
590	null	0	0	0	0	0	0	artifact 590
591	null	0	0	0	0	0	0	artifact 591
592	null	0	0	0	0	0	0	artifact 592
593	null	0	0	0	0	0	0	artifact 593
594	null	0	0	0	0	0	0	artifact 594
595	null	0	0	0	0	0	0	artifact 595
596	null	0	0	0	0	0	0	artifact 596
597	null	0	0	0	0	0	0	artifact 597
598	null	0	0	0	0	0	0	artifact 598
599	null	0	0	0	0	0	0	artifact 599
600	null	0	0	0	0	0	0	quest item 600
601	null	0	0	0	0	0	0	quest item 601
602	item266	0	0	0	0	0	0	False Report
603	item267	0	0	0	0	0	0	Urn of Ashes
604	item268	0	0	0	0	0	0	Nightshade Brazier
605	item269	0	0	0	0	0	0	Dragon Leader's Egg
606	item270	0	0	0	0	0	0	Heart of Fire
607	item271	0	0	0	0	0	0	Heart of Water
608	item272	0	0	0	0	0	0	Heart of Air
609	item273	0	0	0	0	0	0	Heart of Earth
610	item274	0	0	0	0	0	0	Conflux Key
611	item275	0	0	0	0	0	0	Lost Book of Kehl
612	item276	0	0	0	0	0	0	Sarcophagus of Korbu
613	item277	0	0	0	0	0	0	Puzzle Box
614	item278	0	0	0	0	0	0	Vial of Grave Earth
615	item279	0	0	0	0	0	0	Drum of Victory
616	item280	0	0	0	0	0	0	Anointed Herb Potion
617	item281	0	0	0	0	0	0	Power Stone
618	item297	0	0	0	0	0	0	Power Stone
619	item224	0	0	0	0	0	0	Pirate Leader's Key
620	Item232	0	0	0	0	0	0	Prison Key
621	item233	0	0	0	0	0	0	Prison Key
622	null	0	0	0	0	0	0	quest item 622
623	item212	0	0	0	0	0	0	Gem of Restoration
624	null	0	0	0	0	0	0	quest item 624
625	null	0	0	0	0	0	0	quest item 625
626	item207	0	0	0	0	0	0	Prophecies of the Sun
627	item293	0	0	0	0	0	0	Remains of Korbu
628	item294	0	0	0	0	0	0	Lich Jar
629	item295	0	0	0	0	0	0	Ring of Keys
630	item298	0	0	0	0	0	0	Idol of the Snake
631	item299	0	0	0	0	0	0	Big Brass Ring
632	item300	0	0	0	0	0	0	Naga Hide
633	item301	0	0	0	0	0	0	Dire Wolf Pelt
634	item302	0	0	0	0	0	0	Flute
635	item303	0	0	0	0	0	0	Royal Wasp Jelly
636	item304	0	0	0	0	0	0	Dragonbane Flower
637	item305	0	0	0	0	0	0	Bone of Doom
638	item306	0	0	0	0	0	0	Druid Circlet of Power
639	item307	0	0	0	0	0	0	Arcane Key
640	item308	0	0	0	0	0	0	Wyvern Horn
641	item309	0	0	0	0	0	0	Ogre Key
642	item310	0	0	0	0	0	0	Pirate Hat
643	item311	0	0	0	0	0	0	Tobersk Fruit
644	item312	0	0	0	0	0	0	Tobersk Pulp
645	item313	0	0	0	0	0	0	Tobersk Brandy
646	item314	0	0	0	0	0	0	Heartwood of Jadame
647	item315	0	0	0	0	0	0	Flawed Amulets
648	item316	0	0	0	0	0	0	Dried Sunfish
649	item317	0	0	0	0	0	0	Silver Dust of the Sea
650	item318	0	0	0	0	0	0	Forged Vouchers from the Merchants of Alvar
651	item319	0	0	0	0	0	0	Ground Wyvern Horn
652	item320	0	0	0	0	0	0	Prophecies of the Snake
653	item321	0	0	0	0	0	0	Ogre Ear
654	item322	0	0	0	0	0	0	Wasp Stingers
655	item329	0	0	0	0	0	0	Green Apple
656	item326	0	0	0	0	0	0	Horseshoe
657	item327	0	0	0	0	0	0	Enchanted Amulet
658	item323	0	0	0	0	0	0	Wheel of Frelandeau
659	item324	0	0	0	0	0	0	Log of Eldenbrie
660	item325	0	0	0	0	0	0	Ball of Dunduck
661	item230	0	0	0	0	0	0	Emperor Thorn's Key
662	null	0	0	0	0	0	0	quest item 662
663	null	0	0	0	0	0	0	quest item 663
664	null	0	0	0	0	0	0	quest item 664
665	null	0	0	0	0	0	0	quest item 665
666	null	0	0	0	0	0	0	quest item 666
667	null	0	0	0	0	0	0	quest item 667
668	null	0	0	0	0	0	0	quest item 668
669	null	0	0	0	0	0	0	quest item 669
670	null	0	0	0	0	0	0	quest item 670
671	null	0	0	0	0	0	0	quest item 671
672	null	0	0	0	0	0	0	quest item 672
673	null	0	0	0	0	0	0	quest item 673
674	null	0	0	0	0	0	0	quest item 674
675	null	0	0	0	0	0	0	quest item 675
676	null	0	0	0	0	0	0	quest item 676
677	null	0	0	0	0	0	0	quest item 677
678	null	0	0	0	0	0	0	quest item 678
679	null	0	0	0	0	0	0	quest item 679
680	null	0	0	0	0	0	0	quest item 680
681	null	0	0	0	0	0	0	quest item 681
682	null	0	0	0	0	0	0	quest item 682
683	null	0	0	0	0	0	0	quest item 683
684	null	0	0	0	0	0	0	quest item 684
685	null	0	0	0	0	0	0	quest item 685
686	item284	0	0	0	0	0	0	Iron-laced ore
687	item285	0	0	0	0	0	0	Siertal-laced ore
688	item286	0	0	0	0	0	0	Phylt-laced ore
689	item287	0	0	0	0	0	0	Kergar-laced ore
690	item288	0	0	0	0	0	0	Erudine-laced ore
691	item289	0	0	0	0	0	0	Stalt-laced ore
692	null	0	0	0	0	0	0	quest item 692
693	null	0	0	0	0	0	0	quest item 693
694	null	0	0	0	0	0	0	quest item 694
695	null	0	0	0	0	0	0	quest item 695
696	null	0	0	0	0	0	0	quest item 696
697	null	0	0	0	0	0	0	quest item 697
698	null	0	0	0	0	0	0	quest item 698
699	null	0	0	0	0	0	0	quest item 699
700	item199	0	0	0	0	0	0	Rejuvenation Recipe
701	item199	0	0	0	0	0	0	Pure Might Recipe
702	item199	0	0	0	0	0	0	Pure Accuracy Recipe
703	item199	0	0	0	0	0	0	Pure Personality Recipe
704	item199	0	0	0	0	0	0	Pure Endurance Recipe
705	item199	0	0	0	0	0	0	Pure Intellect Recipe
706	item199	0	0	0	0	0	0	Pure Speed Recipe
707	item199	0	0	0	0	0	0	Pure Luck Recipe
708	item199	0	0	0	0	0	0	Slaying Potion Recipe
709	item199	0	0	0	0	0	0	Stone To Flesh Recipe
710	item199	0	0	0	0	0	0	Might Boost Recipe
711	item199	0	0	0	0	0	0	Intellect Boost Recipe
712	item199	0	0	0	0	0	0	Personality Boost Recipe
713	item199	0	0	0	0	0	0	Endurance Boost Recipe
714	item199	0	0	0	0	0	0	Speed Boost Recipe
715	item199	0	0	0	0	0	0	Accuracy Boost Recipe
716	item199	0	0	0	0	0	0	Flaming Potion Recipe
717	item199	0	0	0	0	0	0	Freezing Potion Recipe
718	item199	0	0	0	0	0	0	Noxious Potion Recipe
719	item199	0	0	0	0	0	0	Shocking Potion Recipe
720	item199	0	0	0	0	0	0	Swift Potion Recipe
721	item199	0	0	0	0	0	0	Cure Paralysis Recipe
722	item199	0	0	0	0	0	0	Divine Restoration Recipe
723	item199	0	0	0	0	0	0	Divine Cure Recipe
724	item199	0	0	0	0	0	0	Divine Power Recipe
725	item199	0	0	0	0	0	0	Luck Boost Recipe
726	item199	0	0	0	0	0	0	Fire Resistance Recipe
727	item199	0	0	0	0	0	0	Air Resistance Recipe
728	item199	0	0	0	0	0	0	Water Resistance Recipe
729	item199	0	0	0	0	0	0	Earth Resistance Recipe
730	item199	0	0	0	0	0	0	Mind Resistance Recipe
731	item199	0	0	0	0	0	0	Body Resistance Recipe
732	item199	0	0	0	0	0	0	Certificate of Authentication
733	null	0	0	0	0	0	0	message scroll 733
734	null	0	0	0	0	0	0	message scroll 734
735	null	0	0	0	0	0	0	message scroll 735
736	null	0	0	0	0	0	0	message scroll 736
737	null	0	0	0	0	0	0	message scroll 737
738	null	0	0	0	0	0	0	message scroll 738
739	null	0	0	0	0	0	0	message scroll 739
740	null	0	0	0	0	0	0	message scroll 740
741	item264	0	0	0	0	0	0	Dadeross' Letter to Fellmoon
742	item265	0	0	0	0	0	0	Blackmail Letter
743	item199	0	0	0	0	0	0	Journal Scrap
744	item207	0	0	0	0	0	0	History of the Vault of Time
745	item199	0	0	0	0	0	0	Dagger Wound Oddities
746	item265	0	0	0	0	0	0	Letter
747	null	0	0	0	0	0	0	message scroll 747
748	null	0	0	0	0	0	0	message scroll 748
749	null	0	0	0	0	0	0	message scroll 749
750	null	0	0	0	0	0	0	message scroll 750
751	null	0	0	0	0	0	0	message scroll 751
752	null	0	0	0	0	0	0	message scroll 752
753	null	0	0	0	0	0	0	message scroll 753
754	null	0	0	0	0	0	0	message scroll 754
755	null	0	0	0	0	0	0	message scroll 755
756	null	0	0	0	0	0	0	message scroll 756
757	null	0	0	0	0	0	0	message scroll 757
758	null	0	0	0	0	0	0	message scroll 758
759	null	0	0	0	0	0	0	message scroll 759
760	null	0	0	0	0	0	0	message scroll 760
761	null	0	0	0	0	0	0	message scroll 761
762	null	0	0	0	0	0	0	message scroll 762
763	null	0	0	0	0	0	0	message scroll 763
764	null	0	0	0	0	0	0	message scroll 764
765	null	0	0	0	0	0	0	message scroll 765
766	null	0	0	0	0	0	0	message scroll 766
767	null	0	0	0	0	0	0	message scroll 767
768	null	0	0	0	0	0	0	message scroll 768
769	null	0	0	0	0	0	0	message scroll 769
770	null	0	0	0	0	0	0	message scroll 770
771	null	0	0	0	0	0	0	message scroll 771
772	null	0	0	0	0	0	0	message scroll 772
773	null	0	0	0	0	0	0	message scroll 773
774	null	0	0	0	0	0	0	message scroll 774
775	null	0	0	0	0	0	0	message scroll 775
776	null	0	0	0	0	0	0	message scroll 776
777	null	0	0	0	0	0	0	message scroll 777
778	null	0	0	0	0	0	0	message scroll 778
779	null	0	0	0	0	0	0	message scroll 779
780	null	0	0	0	0	0	0	message scroll 780
781	null	0	0	0	0	0	0	message scroll 781
782	null	0	0	0	0	0	0	message scroll 782
783	null	0	0	0	0	0	0	message scroll 783
784	null	0	0	0	0	0	0	message scroll 784
785	null	0	0	0	0	0	0	message scroll 785
786	null	0	0	0	0	0	0	message scroll 786
787	null	0	0	0	0	0	0	message scroll 787
788	null	0	0	0	0	0	0	message scroll 788
789	null	0	0	0	0	0	0	message scroll 789
790	null	0	0	0	0	0	0	message scroll 790
791	null	0	0	0	0	0	0	message scroll 791
792	null	0	0	0	0	0	0	message scroll 792
793	null	0	0	0	0	0	0	message scroll 793
794	null	0	0	0	0	0	0	message scroll 794
795	null	0	0	0	0	0	0	message scroll 795
796	null	0	0	0	0	0	0	message scroll 796
797	null	0	0	0	0	0	0	message scroll 797
798	null	0	0	0	0	0	0	message scroll 798
799	null	0	0	0	0	0	0	message scroll 799
800	item323	0	0	0	0	0	0	Wheel of Frelandeau
801	item324	0	0	0	0	0	0	Log of Eldenbrie
802	item325	0	0	0	0	0	0	Ball of Dunduck
								
								
								
								
Bonus chance by level %		1	2	3	4	5	6	
	Standard	0	40	40	40	40	75	
	Special	0	0	10	15	20	25	
Weapons	Special %	0	0	10	20	30	50	
								
								
















































































































































































































































































































































































